t,x,y,psi,u,v,r
0.530000,0.000000000e+00,8.895372728e-03,0.000000000e+00,0.000000000e+00,3.085462727e-02,0.000000000e+00
0.540000,0.000000000e+00,9.206118930e-03,0.000000000e+00,0.000000000e+00,3.129388107e-02,0.000000000e+00
0.550000,0.000000000e+00,9.521235781e-03,0.000000000e+00,0.000000000e+00,3.172876422e-02,0.000000000e+00
0.560000,0.000000000e+00,9.840679791e-03,0.000000000e+00,0.000000000e+00,3.215932021e-02,0.000000000e+00
0.570000,0.000000000e+00,1.016440790e-02,0.000000000e+00,0.000000000e+00,3.258559210e-02,0.000000000e+00
0.580000,0.000000000e+00,1.049237749e-02,0.000000000e+00,0.000000000e+00,3.300762251e-02,0.000000000e+00
0.590000,0.000000000e+00,1.082454636e-02,0.000000000e+00,0.000000000e+00,3.342545364e-02,0.000000000e+00
0.600000,0.000000000e+00,1.116087271e-02,0.000000000e+00,0.000000000e+00,3.383912729e-02,0.000000000e+00
0.610000,0.000000000e+00,1.150131518e-02,0.000000000e+00,0.000000000e+00,3.424868482e-02,0.000000000e+00
0.620000,0.000000000e+00,1.184583282e-02,0.000000000e+00,0.000000000e+00,3.465416718e-02,0.000000000e+00
0.630000,0.000000000e+00,1.219438508e-02,0.000000000e+00,0.000000000e+00,3.505561492e-02,0.000000000e+00
0.640000,0.000000000e+00,1.254693181e-02,0.000000000e+00,0.000000000e+00,3.545306819e-02,0.000000000e+00
0.650000,0.000000000e+00,1.290343326e-02,0.000000000e+00,0.000000000e+00,3.584656674e-02,0.000000000e+00
0.660000,0.000000000e+00,1.326385009e-02,0.000000000e+00,0.000000000e+00,3.623614991e-02,0.000000000e+00
0.670000,0.000000000e+00,1.362814334e-02,0.000000000e+00,0.000000000e+00,3.662185666e-02,0.000000000e+00
0.680000,0.000000000e+00,1.399627443e-02,0.000000000e+00,0.000000000e+00,3.700372557e-02,0.000000000e+00
0.690000,0.000000000e+00,1.436820518e-02,0.000000000e+00,0.000000000e+00,3.738179482e-02,0.000000000e+00
0.700000,0.000000000e+00,1.474389779e-02,0.000000000e+00,0.000000000e+00,3.775610221e-02,0.000000000e+00
0.710000,0.000000000e+00,1.512331481e-02,0.000000000e+00,0.000000000e+00,3.812668519e-02,0.000000000e+00
0.720000,0.000000000e+00,1.550641920e-02,0.000000000e+00,0.000000000e+00,3.849358080e-02,0.000000000e+00
0.730000,0.000000000e+00,1.589317426e-02,0.000000000e+00,0.000000000e+00,3.885682574e-02,0.000000000e+00
0.740000,0.000000000e+00,1.628354367e-02,0.000000000e+00,0.000000000e+00,3.921645633e-02,0.000000000e+00
0.750000,0.000000000e+00,1.667749146e-02,0.000000000e+00,0.000000000e+00,3.957250854e-02,0.000000000e+00
0.760000,0.000000000e+00,1.707498203e-02,0.000000000e+00,0.000000000e+00,3.992501797e-02,0.000000000e+00
0.770000,0.000000000e+00,1.747598013e-02,0.000000000e+00,0.000000000e+00,4.027401987e-02,0.000000000e+00
0.780000,0.000000000e+00,1.788045085e-02,0.000000000e+00,0.000000000e+00,4.061954915e-02,0.000000000e+00
0.790000,0.000000000e+00,1.828835965e-02,0.000000000e+00,0.000000000e+00,4.096164035e-02,0.000000000e+00
0.800000,0.000000000e+00,1.869967231e-02,0.000000000e+00,0.000000000e+00,4.130032769e-02,0.000000000e+00
0.810000,0.000000000e+00,1.911435497e-02,0.000000000e+00,0.000000000e+00,4.163564503e-02,0.000000000e+00
0.820000,0.000000000e+00,1.953237409e-02,0.000000000e+00,0.000000000e+00,4.196762591e-02,0.000000000e+00
0.830000,0.000000000e+00,1.995369648e-02,0.000000000e+00,0.000000000e+00,4.229630352e-02,0.000000000e+00
0.840000,0.000000000e+00,2.037828926e-02,0.000000000e+00,0.000000000e+00,4.262171074e-02,0.000000000e+00
0.850000,0.000000000e+00,2.080611990e-02,0.000000000e+00,0.000000000e+00,4.294388010e-02,0.000000000e+00
0.860000,0.000000000e+00,2.123715618e-02,0.000000000e+00,0.000000000e+00,4.326284382e-02,0.000000000e+00
0.870000,0.000000000e+00,2.167136620e-02,0.000000000e+00,0.000000000e+00,4.357863380e-02,0.000000000e+00
