t,x,y,psi,u,v,r
0.470000,1.318049919e-01,0.000000000e+00,0.000000000e+00,5.247493031e-01,0.000000000e+00,0.000000000e+00
0.480000,1.370974116e-01,0.000000000e+00,0.000000000e+00,5.337214553e-01,0.000000000e+00,0.000000000e+00
0.490000,1.424791586e-01,0.000000000e+00,0.000000000e+00,5.426148833e-01,0.000000000e+00,0.000000000e+00
0.500000,1.479494492e-01,0.000000000e+00,0.000000000e+00,5.514302779e-01,0.000000000e+00,0.000000000e+00
0.510000,1.535075063e-01,0.000000000e+00,0.000000000e+00,5.601683237e-01,0.000000000e+00,0.000000000e+00
0.520000,1.591525601e-01,0.000000000e+00,0.000000000e+00,5.688296994e-01,0.000000000e+00,0.000000000e+00
0.530000,1.648838470e-01,0.000000000e+00,0.000000000e+00,5.774150778e-01,0.000000000e+00,0.000000000e+00
0.540000,1.707006105e-01,0.000000000e+00,0.000000000e+00,5.859251256e-01,0.000000000e+00,0.000000000e+00
0.550000,1.766021006e-01,0.000000000e+00,0.000000000e+00,5.943605038e-01,0.000000000e+00,0.000000000e+00
0.560000,1.825875739e-01,0.000000000e+00,0.000000000e+00,6.027218677e-01,0.000000000e+00,0.000000000e+00
0.570000,1.886562934e-01,0.000000000e+00,0.000000000e+00,6.110098665e-01,0.000000000e+00,0.000000000e+00
0.580000,1.948075288e-01,0.000000000e+00,0.000000000e+00,6.192251442e-01,0.000000000e+00,0.000000000e+00
0.590000,2.010405560e-01,0.000000000e+00,0.000000000e+00,6.273683386e-01,0.000000000e+00,0.000000000e+00
0.600000,2.073546574e-01,0.000000000e+00,0.000000000e+00,6.354400824e-01,0.000000000e+00,0.000000000e+00
0.610000,2.137491216e-01,0.000000000e+00,0.000000000e+00,6.434410024e-01,0.000000000e+00,0.000000000e+00
0.620000,2.202232435e-01,0.000000000e+00,0.000000000e+00,6.513717200e-01,0.000000000e+00,0.000000000e+00
0.630000,2.267763240e-01,0.000000000e+00,0.000000000e+00,6.592328513e-01,0.000000000e+00,0.000000000e+00
0.640000,2.334076706e-01,0.000000000e+00,0.000000000e+00,6.670250069e-01,0.000000000e+00,0.000000000e+00
0.650000,2.401165963e-01,0.000000000e+00,0.000000000e+00,6.747487918e-01,0.000000000e+00,0.000000000e+00
0.660000,2.469024205e-01,0.000000000e+00,0.000000000e+00,6.824048061e-01,0.000000000e+00,0.000000000e+00
0.670000,2.537644685e-01,0.000000000e+00,0.000000000e+00,6.899936443e-01,0.000000000e+00,0.000000000e+00
0.680000,2.607020714e-01,0.000000000e+00,0.000000000e+00,6.975158959e-01,0.000000000e+00,0.000000000e+00
0.690000,2.677145664e-01,0.000000000e+00,0.000000000e+00,7.049721451e-01,0.000000000e+00,0.000000000e+00
0.700000,2.748012963e-01,0.000000000e+00,0.000000000e+00,7.123629711e-01,0.000000000e+00,0.000000000e+00
0.710000,2.819616097e-01,0.000000000e+00,0.000000000e+00,7.196889479e-01,0.000000000e+00,0.000000000e+00
0.720000,2.891948609e-01,0.000000000e+00,0.000000000e+00,7.269506446e-01,0.000000000e+00,0.000000000e+00
0.730000,2.965004102e-01,0.000000000e+00,0.000000000e+00,7.341486250e-01,0.000000000e+00,0.000000000e+00
0.740000,3.038776229e-01,0.000000000e+00,0.000000000e+00,7.412834483e-01,0.000000000e+00,0.000000000e+00
0.750000,3.113258705e-01,0.000000000e+00,0.000000000e+00,7.483556687e-01,0.000000000e+00,0.000000000e+00
0.760000,3.188445295e-01,0.000000000e+00,0.000000000e+00,7.553658353e-01,0.000000000e+00,0.000000000e+00
